Timestamp,	Gyro_x,	Gyro_y,	Gyro_z,	Acc_x,	Acc_y,	Acc_z,	Orie_x,	Orie_y,	Orie_z,	Orie_w,	Temp_C
15:34:43.83,	0.097,	0.027,	0.003,	-0.250,	-0.320,	-0.070,	0.032,	-0.036,	0.626,	0.778,	7.00
15:34:43.88,	0.100,	0.038,	0.006,	-0.220,	-0.330,	-0.100,	0.032,	-0.034,	0.626,	0.778,	7.00
15:34:43.93,	0.098,	0.042,	0.004,	-0.190,	-0.380,	-0.080,	0.032,	-0.032,	0.627,	0.778,	7.00
15:34:43.97,	0.097,	0.039,	0.006,	-0.150,	-0.390,	-0.080,	0.031,	-0.031,	0.626,	0.778,	7.00
15:34:44.02,	0.092,	0.039,	0.006,	-0.130,	-0.390,	-0.090,	0.031,	-0.029,	0.626,	0.778,	7.00
15:34:44.06,	0.093,	0.042,	0.006,	-0.100,	-0.390,	-0.140,	0.031,	-0.028,	0.627,	0.778,	7.00
15:34:44.15,	0.084,	0.047,	0.009,	-0.070,	-0.410,	-0.230,	0.030,	-0.026,	0.627,	0.778,	7.00
15:34:44.19,	0.080,	0.056,	0.012,	-0.050,	-0.430,	-0.260,	0.029,	-0.025,	0.627,	0.778,	7.00
15:34:44.24,	0.074,	0.058,	0.012,	-0.020,	-0.410,	-0.270,	0.029,	-0.024,	0.627,	0.778,	7.00
15:34:44.28,	0.072,	0.058,	0.014,	0.020,	-0.430,	-0.270,	0.028,	-0.023,	0.627,	0.778,	7.00
15:34:44.33,	0.066,	0.057,	0.016,	0.010,	-0.420,	-0.300,	0.027,	-0.022,	0.628,	0.778,	7.00
15:34:44.37,	0.062,	0.052,	0.020,	0.020,	-0.440,	-0.350,	0.027,	-0.021,	0.628,	0.778,	7.00
15:34:44.42,	0.057,	0.049,	0.020,	0.030,	-0.420,	-0.410,	0.026,	-0.020,	0.628,	0.778,	7.00
15:34:44.47,	0.051,	0.048,	0.019,	0.050,	-0.420,	-0.470,	0.025,	-0.020,	0.628,	0.778,	7.00
15:34:44.51,	0.049,	0.059,	0.021,	0.060,	-0.430,	-0.530,	0.025,	-0.019,	0.628,	0.777,	7.00
15:34:44.56,	0.048,	0.060,	0.023,	0.080,	-0.440,	-0.610,	0.024,	-0.019,	0.629,	0.777,	7.00
15:34:44.61,	0.038,	0.059,	0.027,	0.090,	-0.400,	-0.680,	0.023,	-0.018,	0.629,	0.777,	7.00
