System_Timestamp,	GPS_Timestamp	Latitude,	Longitude,	Altitude
15:34:04.80,	05:02:03,	-34.6164335,	148.253471,	31358.6
15:34:05.80,	05:02:04,	-34.616478,	148.253441667,	31367.8
15:34:06.80,	05:02:05,	-34.6165323333,	148.2534485,	31376.0
15:34:07.80,	05:02:06,	-34.6165916667,	148.253490333,	31383.1
15:34:08.80,	05:02:07,	-34.6166481667,	148.2535535,	31390.0
15:34:09.80,	05:02:08,	-34.6166991667,	148.2536135,	31397.3
15:34:10.80,	05:02:09,	-34.6167558333,	148.253651833,	31405.4
15:34:11.80,	05:02:10,	-34.6168238333,	148.2536645,	31413.7
15:34:12.80,	05:02:11,	-34.6169071667,	148.253659167,	31421.8
15:34:13.80,	05:02:12,	-34.6170031667,	148.253639833,	31429.0
15:34:14.80,	05:02:13,	-34.6171025,	148.253610333,	31435.4
15:34:15.80,	05:02:14,	-34.617197,	148.253573167,	31441.9
15:34:16.80,	05:02:15,	-34.6172793333,	148.2535335,	31449.2
15:34:17.80,	05:02:16,	-34.6173573333,	148.253505333,	31457.6
15:34:18.80,	05:02:17,	-34.6174318333,	148.253502333,	31465.8
15:34:19.80,	05:02:18,	-34.6175125,	148.2535315,	31473.4
15:34:20.80,	05:02:19,	-34.6175918333,	148.2535835,	31480.0
15:34:21.80,	05:02:20,	-34.617659,	148.253641333,	31487.9
15:34:22.80,	05:02:21,	-34.6177123333,	148.2536855,	31496.9
15:34:23.79,	05:02:22,	-34.6177678333,	148.253699667,	31505.1
15:34:24.80,	05:02:23,	-34.6178368333,	148.253686167,	31512.1
15:34:25.80,	05:02:24,	-34.6179245,	148.253646167,	31519.3
15:34:26.79,	05:02:25,	-34.6180158333,	148.253602,	31527.3
15:34:27.80,	05:02:26,	-34.6180945,	148.2535785,	31535.4
15:34:28.80,	05:02:27,	-34.6181505,	148.253578667,	31543.5
15:34:29.80,	05:02:28,	-34.6181853333,	148.253598667,	31551.3
15:34:30.81,	05:02:29,	-34.6182055,	148.253622833,	31557.9
15:34:31.80,	05:02:30,	-34.6182223333,	148.253651333,	31564.7
15:34:32.80,	05:02:31,	-34.618243,	148.253676667,	31572.3
15:34:33.80,	05:02:32,	-34.6182753333,	148.253691833,	31581.6
15:34:34.80,	05:02:33,	-34.6183225,	148.253689667,	31589.6
15:34:35.80,	05:02:34,	-34.6183805,	148.253666,	31597.3
15:34:36.80,	05:02:35,	-34.618449,	148.253617333,	31603.9
15:34:37.80,	05:02:36,	-34.6185201667,	148.2535525,	31611.1
15:34:38.80,	05:02:37,	-34.6185865,	148.253490833,	31618.6
15:34:39.80,	05:02:38,	-34.618637,	148.2534515,	31627.0
15:34:40.79,	05:02:39,	-34.6186703333,	148.253438833,	31634.7
15:34:41.80,	05:02:40,	-34.6186876667,	148.253449,	31641.5
15:34:42.80,	05:02:41,	-34.6186938333,	148.253468667,	31648.7
15:34:43.80,	05:02:42,	-34.6186991667,	148.253479333,	31656.7
15:34:44.80,	05:02:43,	-34.6187198333,	148.253468,	31665.3
15:34:45.80,	05:02:44,	-34.6187585,	148.2534365,	31673.7
15:34:46.80,	05:02:45,	-34.6188146667,	148.253394833,	31681.6
15:34:47.80,	05:02:46,	-34.6188811667,	148.253347833,	31688.7
15:34:48.80,	05:02:47,	-34.6189506667,	148.2532975,	31695.5
15:34:49.80,	05:02:48,	-34.6190138333,	148.253245,	31702.7
15:34:50.80,	05:02:49,	-34.6190648333,	148.253196667,	31710.5
15:34:51.80,	05:02:50,	-34.6191023333,	148.253156333,	31719.1
15:34:52.80,	05:02:51,	-34.6191261667,	148.253129333,	31727.0
15:34:53.80,	05:02:52,	-34.6191328333,	148.253119833,	31733.7
15:34:54.80,	05:02:53,	-34.6191235,	148.253122667,	31741.0
15:34:55.80,	05:02:54,	-34.6191085,	148.253124667,	31749.8
15:34:56.80,	05:02:55,	-34.61911,	148.253109333,	31758.8
15:34:57.80,	05:02:56,	-34.6191363333,	148.253073333,	31767.2
15:34:58.80,	05:02:57,	-34.6191886667,	148.253019333,	31774.2
15:34:59.80,	05:02:58,	-34.6192581667,	148.252952,	31781.1
15:35:00.81,	05:02:59,	-34.6193231667,	148.252886,	31789.0
15:35:01.80,	05:03:00,	-34.6193608333,	148.252834833,	31797.2
15:35:02.80,	05:03:01,	-34.6193691667,	148.252802833,	31805.4
15:35:03.80,	05:03:02,	-34.6193518333,	148.252789167,	31811.9
15:35:04.80,	05:03:03,	-34.619319,	148.2527865,	31818.4
15:35:05.80,	05:03:04,	-34.6192818333,	148.252787,	31825.6
15:35:06.80,	05:03:05,	-34.6192523333,	148.2527795,	31833.6
15:35:07.80,	05:03:06,	-34.6192395,	148.252759167,	31842.2
15:35:08.80,	05:03:07,	-34.6192451667,	148.252732167,	31850.8
15:35:09.80,	05:03:08,	-34.6192661667,	148.252706167,	31858.5
15:35:10.80,	05:03:09,	-34.6192998333,	148.2526835,	31865.2
15:35:11.80,	05:03:10,	-34.6193391667,	148.252663167,	31872.0
15:35:12.80,	05:03:11,	-34.619371,	148.252641667,	31879.2
15:35:13.80,	05:03:12,	-34.6193843333,	148.252622167,	31886.9
15:35:14.80,	05:03:13,	-34.619379,	148.252610833,	31894.4
15:35:15.80,	05:03:14,	-34.6193541667,	148.252612833,	31901.4
15:35:16.80,	05:03:15,	-34.6193161667,	148.252620333,	31907.7
15:35:17.80,	05:03:16,	-34.6192701667,	148.252622833,	31914.5
15:35:18.80,	05:03:17,	-34.6192261667,	148.252609167,	31921.9
15:35:19.80,	05:03:18,	-34.6192001667,	148.252583333,	31930.3
15:35:20.80,	05:03:19,	-34.6191878333,	148.252551333,	31938.0
15:35:21.79,	05:03:20,	-34.6191875,	148.252510333,	31944.3
15:35:22.79,	05:03:21,	-34.6192058333,	148.252464667,	31951.1
15:35:23.79,	05:03:22,	-34.6192241667,	148.252419,	31958.1
15:35:24.79,	05:03:23,	-34.6192316667,	148.2523715,	31966.5
15:35:25.80,	05:03:24,	-34.619215,	148.252327333,	31974.7
15:35:26.80,	05:03:25,	-34.6191805,	148.252290167,	31982.4
15:35:27.79,	05:03:26,	-34.6191276667,	148.252261,	31988.6
15:35:28.80,	05:03:27,	-34.6190643333,	148.2522465,	31995.5
15:35:29.80,	05:03:28,	-34.6189983333,	148.252239,	32002.4
15:35:30.80,	05:03:29,	-34.6189435,	148.252231,	32009.7
15:35:31.80,	05:03:30,	-34.618899,	148.252216833,	32017.6
15:35:32.80,	05:03:31,	-34.6188635,	148.252201667,	32025.9
15:35:33.80,	05:03:32,	-34.6188373333,	148.252194667,	32033.6
15:35:34.80,	05:03:33,	-34.6188286667,	148.252190667,	32040.4
15:35:35.80,	05:03:34,	-34.6188323333,	148.252186333,	32047.2
15:35:36.80,	05:03:35,	-34.6188345,	148.252168833,	32053.6
15:35:37.80,	05:03:36,	-34.6188293333,	148.252140667,	32060.6
15:35:38.80,	05:03:37,	-34.6188041667,	148.252105,	32069.2
15:35:39.80,	05:03:38,	-34.618761,	148.252067167,	32077.9
15:35:40.80,	05:03:39,	-34.6187053333,	148.252027167,	32085.7
15:35:41.80,	05:03:40,	-34.6186365,	148.251978,	32092.4
15:35:42.80,	05:03:41,	-34.6185528333,	148.251916833,	32099.2
15:35:43.80,	05:03:42,	-34.6184651667,	148.251852167,	32106.2
