System_Timestamp,	GPS_Timestamp	Latitude,	Longitude,	Altitude
13:25:29.67,	02:53:31,	0.0,	0.0,	None
13:25:30.84,	02:53:32,	0.0,	0.0,	None
13:25:31.67,	02:53:33,	0.0,	0.0,	None
13:25:32.67,	02:53:34,	0.0,	0.0,	None
13:25:33.67,	02:53:35,	0.0,	0.0,	None
13:25:34.67,	02:53:36,	0.0,	0.0,	None
13:25:35.67,	02:53:37,	0.0,	0.0,	None
13:25:36.84,	02:53:38,	0.0,	0.0,	None
13:25:37.67,	02:53:39,	0.0,	0.0,	None
13:25:38.67,	02:53:40,	0.0,	0.0,	None
13:25:39.67,	02:53:41,	0.0,	0.0,	None
13:25:40.67,	02:53:42,	0.0,	0.0,	None
13:25:41.67,	02:53:43,	0.0,	0.0,	None
13:25:42.83,	02:53:44,	0.0,	0.0,	None
13:25:43.67,	02:53:45,	0.0,	0.0,	None
13:25:44.67,	02:53:46,	0.0,	0.0,	None
13:25:45.67,	02:53:47,	0.0,	0.0,	None
13:25:46.67,	02:53:48,	0.0,	0.0,	None
13:25:47.67,	02:53:49,	0.0,	0.0,	None
13:25:48.84,	02:53:50,	0.0,	0.0,	None
13:25:49.67,	02:53:51,	0.0,	0.0,	None
13:25:50.67,	02:53:52,	0.0,	0.0,	None
13:25:51.67,	02:53:53,	0.0,	0.0,	None
13:25:52.67,	02:53:54,	0.0,	0.0,	None
13:25:53.67,	02:53:55,	0.0,	0.0,	None
13:25:54.83,	02:53:56,	0.0,	0.0,	None
13:25:55.67,	02:53:57,	0.0,	0.0,	None
13:25:56.67,	02:53:58,	0.0,	0.0,	None
13:25:57.67,	02:53:59,	0.0,	0.0,	None
13:25:58.67,	02:54:00,	0.0,	0.0,	None
13:25:59.67,	02:54:01,	0.0,	0.0,	None
13:26:00.83,	02:54:02,	0.0,	0.0,	None
13:26:01.67,	02:54:03,	0.0,	0.0,	None
13:26:02.67,	02:54:04,	0.0,	0.0,	None
13:26:03.67,	02:54:05,	0.0,	0.0,	None
13:26:04.67,	02:54:06,	0.0,	0.0,	None
13:26:05.67,	02:54:07,	0.0,	0.0,	None
13:26:06.83,	02:54:08,	0.0,	0.0,	None
13:26:07.67,	02:54:09,	0.0,	0.0,	None
13:26:08.67,	02:54:10,	0.0,	0.0,	None
13:26:09.67,	02:54:11,	0.0,	0.0,	None
13:26:10.67,	02:54:12,	0.0,	0.0,	None
13:26:11.67,	02:54:13,	0.0,	0.0,	None
13:26:12.83,	02:54:14,	0.0,	0.0,	None
13:26:13.67,	02:54:15,	0.0,	0.0,	None
13:26:14.67,	02:54:16,	0.0,	0.0,	None
13:26:15.67,	02:54:17,	0.0,	0.0,	None
13:26:16.67,	02:54:18,	0.0,	0.0,	None
13:26:17.67,	02:54:19,	0.0,	0.0,	None
13:26:18.83,	02:54:20,	0.0,	0.0,	None
13:26:19.67,	02:54:21,	0.0,	0.0,	None
13:26:20.67,	02:54:22,	0.0,	0.0,	None
13:26:21.67,	02:54:23,	0.0,	0.0,	None
13:26:22.67,	02:54:24,	0.0,	0.0,	None
13:26:23.67,	02:54:25,	0.0,	0.0,	None
13:26:24.83,	02:54:26,	0.0,	0.0,	None
13:26:25.67,	02:54:27,	0.0,	0.0,	None
13:26:26.67,	02:54:28,	0.0,	0.0,	None
13:26:27.67,	02:54:29,	0.0,	0.0,	None
13:26:28.67,	02:54:30,	0.0,	0.0,	None
13:26:29.67,	02:54:31,	0.0,	0.0,	None
13:26:30.84,	02:54:32,	0.0,	0.0,	None
13:26:31.67,	02:54:33,	0.0,	0.0,	None
13:26:32.67,	02:54:34,	0.0,	0.0,	None
13:26:33.67,	02:54:35,	0.0,	0.0,	None
13:26:34.67,	02:54:36,	0.0,	0.0,	None
13:26:35.67,	02:54:37,	0.0,	0.0,	None
13:26:36.83,	02:54:38,	0.0,	0.0,	None
13:26:37.67,	02:54:39,	0.0,	0.0,	None
13:26:38.67,	02:54:40,	0.0,	0.0,	None
13:26:39.68,	02:54:41,	0.0,	0.0,	None
13:26:40.68,	02:54:42,	0.0,	0.0,	None
13:26:41.68,	02:54:43,	0.0,	0.0,	None
13:26:42.84,	02:54:44,	0.0,	0.0,	None
13:26:43.67,	02:54:45,	0.0,	0.0,	None
13:26:44.67,	02:54:46,	0.0,	0.0,	None
13:26:45.67,	02:54:47,	0.0,	0.0,	None
13:26:46.67,	02:54:48,	0.0,	0.0,	None
13:26:47.67,	02:54:49,	0.0,	0.0,	None
13:26:48.83,	02:54:50,	0.0,	0.0,	None
13:26:49.67,	02:54:51,	0.0,	0.0,	None
13:26:50.68,	02:54:52,	0.0,	0.0,	None
13:26:51.68,	02:54:53,	0.0,	0.0,	None
13:26:52.67,	02:54:54,	0.0,	0.0,	None
13:26:53.67,	02:54:55,	0.0,	0.0,	None
13:26:54.82,	02:54:56,	0.0,	0.0,	None
13:26:55.67,	02:54:57,	0.0,	0.0,	None
13:26:56.67,	02:54:58,	0.0,	0.0,	None
13:26:57.67,	02:54:59,	0.0,	0.0,	None
13:26:58.67,	02:55:00,	0.0,	0.0,	None
13:26:59.67,	02:55:01,	0.0,	0.0,	None
13:27:00.83,	02:55:02,	0.0,	0.0,	None
13:27:01.68,	02:55:03,	0.0,	0.0,	None
13:27:02.67,	02:55:04,	0.0,	0.0,	None
13:27:03.67,	02:55:05,	0.0,	0.0,	None
13:27:04.67,	02:55:06,	0.0,	0.0,	None
13:27:05.67,	02:55:07,	0.0,	0.0,	None
13:27:06.83,	02:55:08,	0.0,	0.0,	None
13:27:07.68,	02:55:09,	0.0,	0.0,	None
13:27:08.68,	02:55:10,	0.0,	0.0,	None
13:27:09.67,	02:55:11,	0.0,	0.0,	None
13:27:10.67,	02:55:12,	0.0,	0.0,	None
13:27:11.67,	02:55:13,	0.0,	0.0,	None
13:27:12.83,	02:55:14,	0.0,	0.0,	None
13:27:13.67,	02:55:15,	0.0,	0.0,	None
13:27:14.67,	02:55:16,	0.0,	0.0,	None
13:27:15.67,	02:55:17,	0.0,	0.0,	None
13:27:16.67,	02:55:18,	0.0,	0.0,	None
13:27:17.67,	02:55:19,	0.0,	0.0,	None
13:27:18.83,	02:55:20,	0.0,	0.0,	None
13:27:19.67,	02:55:21,	0.0,	0.0,	None
13:27:20.67,	02:55:22,	0.0,	0.0,	None
13:27:21.67,	02:55:23,	0.0,	0.0,	None
13:27:22.67,	02:55:24,	0.0,	0.0,	None
13:27:23.67,	02:55:25,	0.0,	0.0,	None
13:27:24.83,	02:55:26,	0.0,	0.0,	None
13:27:25.67,	02:55:27,	0.0,	0.0,	None
13:27:26.67,	02:55:28,	0.0,	0.0,	None
13:27:27.67,	02:55:29,	0.0,	0.0,	None
13:27:28.67,	02:55:30,	0.0,	0.0,	None
13:27:29.67,	02:55:31,	0.0,	0.0,	None
13:27:30.83,	02:55:32,	0.0,	0.0,	None
13:27:31.67,	02:55:33,	0.0,	0.0,	None
13:27:32.67,	02:55:34,	0.0,	0.0,	None
13:27:33.67,	02:55:35,	0.0,	0.0,	None
13:27:34.67,	02:55:36,	0.0,	0.0,	None
13:27:35.67,	02:55:37,	0.0,	0.0,	None
13:27:36.83,	02:55:38,	0.0,	0.0,	None
13:27:37.67,	02:55:39,	0.0,	0.0,	None
13:27:38.67,	02:55:40,	0.0,	0.0,	None
13:27:39.68,	02:55:41,	0.0,	0.0,	None
13:27:40.68,	02:55:42,	0.0,	0.0,	None
13:27:41.68,	02:55:43,	0.0,	0.0,	None
13:27:42.83,	02:55:44,	0.0,	0.0,	None
13:27:43.67,	02:55:45,	0.0,	0.0,	None
13:27:44.67,	02:55:46,	0.0,	0.0,	None
13:27:45.67,	02:55:47,	0.0,	0.0,	None
13:27:46.67,	02:55:48,	0.0,	0.0,	None
13:27:47.67,	02:55:49,	0.0,	0.0,	None
13:27:48.83,	02:55:50,	0.0,	0.0,	None
13:27:49.67,	02:55:51,	0.0,	0.0,	None
13:27:50.67,	02:55:52,	0.0,	0.0,	None
13:27:51.67,	02:55:53,	0.0,	0.0,	None
13:27:52.67,	02:55:54,	0.0,	0.0,	None
13:27:53.67,	02:55:55,	0.0,	0.0,	None
13:27:54.83,	02:55:56,	0.0,	0.0,	None
13:27:55.67,	02:55:57,	0.0,	0.0,	None
13:27:56.67,	02:55:58,	0.0,	0.0,	None
13:27:57.67,	02:55:59,	0.0,	0.0,	None
13:27:58.67,	02:56:00,	0.0,	0.0,	None
13:27:59.67,	02:56:01,	0.0,	0.0,	None
13:28:00.83,	02:56:02,	0.0,	0.0,	None
13:28:01.67,	02:56:03,	0.0,	0.0,	None
13:28:02.67,	02:56:04,	0.0,	0.0,	None
13:28:03.67,	02:56:05,	0.0,	0.0,	None
13:28:04.67,	02:56:06,	0.0,	0.0,	None
13:28:05.68,	02:56:07,	0.0,	0.0,	None
13:28:06.83,	02:56:08,	0.0,	0.0,	None
13:28:07.67,	02:56:09,	0.0,	0.0,	None
13:28:08.68,	02:56:10,	0.0,	0.0,	None
13:28:09.67,	02:56:11,	0.0,	0.0,	None
13:28:10.68,	02:56:12,	0.0,	0.0,	None
13:28:11.67,	02:56:13,	0.0,	0.0,	None
13:28:12.83,	02:56:14,	0.0,	0.0,	None
13:28:13.67,	02:56:15,	0.0,	0.0,	None
13:28:14.68,	02:56:16,	0.0,	0.0,	None
13:28:15.68,	02:56:17,	0.0,	0.0,	None
13:28:16.68,	02:56:18,	0.0,	0.0,	None
13:28:17.67,	02:56:19,	0.0,	0.0,	None
13:28:18.83,	02:56:20,	0.0,	0.0,	None
13:28:19.67,	02:56:21,	0.0,	0.0,	None
13:28:20.68,	02:56:22,	0.0,	0.0,	None
13:28:21.67,	02:56:23,	0.0,	0.0,	None
13:28:22.67,	02:56:24,	0.0,	0.0,	None
13:28:23.67,	02:56:25,	0.0,	0.0,	None
13:28:24.83,	02:56:26,	0.0,	0.0,	None
13:28:25.67,	02:56:27,	0.0,	0.0,	None
13:28:26.68,	02:56:28,	0.0,	0.0,	None
13:28:27.67,	02:56:29,	0.0,	0.0,	None
13:28:28.67,	02:56:30,	0.0,	0.0,	None
13:28:29.67,	02:56:31,	0.0,	0.0,	None
13:28:30.84,	02:56:32,	0.0,	0.0,	None
13:28:31.67,	02:56:33,	0.0,	0.0,	None
13:28:32.67,	02:56:34,	0.0,	0.0,	None
13:28:33.67,	02:56:35,	0.0,	0.0,	None
13:28:34.67,	02:56:36,	0.0,	0.0,	None
13:28:35.67,	02:56:37,	0.0,	0.0,	None
13:28:36.83,	02:56:38,	0.0,	0.0,	None
13:28:37.67,	02:56:39,	0.0,	0.0,	None
13:28:38.68,	02:56:40,	0.0,	0.0,	None
13:28:39.68,	02:56:41,	0.0,	0.0,	None
13:28:40.68,	02:56:42,	0.0,	0.0,	None
13:28:41.68,	02:56:43,	0.0,	0.0,	None
13:28:42.84,	02:56:44,	0.0,	0.0,	None
13:28:43.67,	02:56:45,	0.0,	0.0,	None
13:28:44.67,	02:56:46,	0.0,	0.0,	None
13:28:45.67,	02:56:47,	0.0,	0.0,	None
13:28:46.67,	02:56:48,	0.0,	0.0,	None
13:28:47.67,	02:56:49,	0.0,	0.0,	None
13:28:48.84,	02:56:50,	0.0,	0.0,	None
13:28:49.67,	02:56:51,	0.0,	0.0,	None
13:28:50.67,	02:56:52,	0.0,	0.0,	None
13:28:51.67,	02:56:53,	0.0,	0.0,	None
13:28:52.67,	02:56:54,	0.0,	0.0,	None
13:28:53.67,	02:56:55,	0.0,	0.0,	None
13:28:54.84,	02:56:56,	0.0,	0.0,	None
13:28:55.67,	02:56:57,	0.0,	0.0,	None
13:28:56.67,	02:56:58,	0.0,	0.0,	None
13:28:57.67,	02:56:59,	0.0,	0.0,	None
13:28:58.67,	02:57:00,	0.0,	0.0,	None
13:28:59.67,	02:57:01,	0.0,	0.0,	None
13:29:00.84,	02:57:02,	0.0,	0.0,	None
13:29:01.67,	02:57:03,	0.0,	0.0,	None
13:29:02.67,	02:57:04,	0.0,	0.0,	None
13:29:03.67,	02:57:05,	0.0,	0.0,	None
13:29:04.68,	02:57:06,	0.0,	0.0,	None
13:29:05.67,	02:57:07,	0.0,	0.0,	None
13:29:06.84,	02:57:08,	0.0,	0.0,	None
13:29:07.67,	02:57:09,	0.0,	0.0,	None
13:29:08.67,	02:57:10,	0.0,	0.0,	None
13:29:09.67,	02:57:11,	0.0,	0.0,	None
13:29:10.67,	02:57:12,	0.0,	0.0,	None
13:29:11.67,	02:57:13,	0.0,	0.0,	None
13:29:12.83,	02:57:14,	0.0,	0.0,	None
13:29:13.67,	02:57:15,	0.0,	0.0,	None
13:29:14.67,	02:57:16,	0.0,	0.0,	None
13:29:15.67,	02:57:17,	0.0,	0.0,	None
13:29:16.67,	02:57:18,	0.0,	0.0,	None
